Name,URL,Cuisines,Area,Timing,Dinner Ratings,Delivery Reviews,KnownFor,PopularDishes
Sri Udupi Park,https://www.zomato.com/bangalore/sri-udupi-park-indiranagar,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",7am – 11pm (Today),4,16000,,"Filtered Coffee, Sambhar, Pav Bhaji, Gobi Manchurian"
Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-indiranagar,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Bangalore",Opens at 6:30pm,4.3,28600,Spicy Chicken Biryani,"Authentic Hyderabadi Biryani, Paneer Biryani, Panner Tikka, Chicken 65, Lemon Chicken, Mutton Biriyani"
Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-indiranagar-bangalore,Biryani,"Indiranagar, Bangalore",11am – 11pm (Today),3.9,33200,,
Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar,"Pizza, Fast Food, Desserts","Indiranagar, Bangalore",10:57am – 12midnight (Today),2.4,8205,,"Barbeque Chicken Pizza, Choco Lava Cake, White Sauce Pasta, Pizzas"
KFC,https://www.zomato.com/bangalore/kfc-indiranagar,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),2.8,9148,,"Fiery Chicken, Chicken Popcorn, Rice Bowl, Wings"
The Congee Concept,https://www.zomato.com/bangalore/the-congee-concept-ulsoor-bangalore,South Indian,"Ulsoor, Bangalore",,-,239,,
Burger King,https://www.zomato.com/bangalore/burger-king-indiranagar,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",9am – 2am (Today),4.1,22400,"High-quality, great-tasting and affordable Burgers.","Crispy Spicy Chicken, Chilly Burger, Thick Mango Shake, Strawberry Sundae, Mutton Patty, Whooper Burger"
McDonald's,https://www.zomato.com/bangalore/mcdonalds-indiranagar,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",9:30am – 1:30am (Today),3.8,7508,Their reasonably priced combos,"Mcspicy Chicken, Mcspicy Paneer, Maharaja Mac, Peri Peri Fries, Burgers, Coffee"
Mani's Dum Biryani,https://www.zomato.com/manisindiranagar,"Biryani, Kebab","Jeevan Bhima Nagar, Bangalore",11am – 11:45pm (Today),4.2,12700,It's flavourful Mutton Biryani.,"Paneer Fry, Chicken 65, Egg Biryani, Mutton Biryani, Starter"
Madras Meal Company,https://www.zomato.com/bangalore/madras-meal-company-thippasandra-bangalore,South Indian,"Thippasandra, Bangalore",,-,2958,,"Tamilnadu Style, South Indian Meals, Gulab Jamun, Raita, Kabab, Chicken Biryani"
ZAZA 22 Spice Biryani,https://www.zomato.com/bangalore/zaza-22-spice-biryani-indiranagar-bangalore,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",,-,447,,
New Alameen Restaurant,https://www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore,"Kerala, North Indian, Chinese","Ulsoor, Bangalore",9am – 1am (Today),3.7,9101,,
Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar,"Pizza, Desserts","Indiranagar, Bangalore",,-,3902,,
Biryani Trip,https://www.zomato.com/bangalore/biryani-trip-indiranagar-bangalore,"Hyderabadi, Biryani","Indiranagar, Bangalore",,-,70,,
